Date,Merchant,Amount,Type,Fraudulent
2023-09-20,Axis Bank ATM,"274,684",Contactless,False
2024-07-19,Corner Grocery,"4,369",POS,False
2024-06-16,Corner Grocery,"3,152",Transfer,False
2023-04-26,Flipkart,"26,954",Online,False
2024-06-03,Local POS Stall,362,UPI,False
2023-06-27,Flipkart,"1,398",POS,False
2023-04-27,Corner Grocery,923,Transfer,False
2024-07-06,IRCTC,"35,471",Online,False
2023-02-28,Luxury Outlet,"3,481",Online,False
2024-08-24,Myntra,"3,084",UPI,False
2023-04-23,BookShop,701,Online,False
2024-03-24,Subscription - Netflix,975,ATM,False
2023-08-21,Flipkart,"3,399",ATM,False
2024-11-14,IRCTC,446,Transfer,False
2023-09-25,Suspicious Store,"3,115",Contactless,False
2024-11-29,Zomato,"43,379",UPI,False
2024-11-28,Cinemaplex,503,ATM,False
2023-04-10,Utility - Electricity,"18,021",UPI,False
2024-10-27,Recharge Portal,"43,293",Online,False
2023-09-01,IRCTC,"40,202",Transfer,False
2024-07-04,Local POS Stall,"2,884",ATM,False
2024-05-28,Designer Boutique,"15,868",UPI,False
2024-05-05,SBI ATM,"1,690",Contactless,False
2024-08-16,Zomato,"3,519",POS,False
2023-09-19,Utility - Electricity,"1,544",UPI,False
2023-05-21,Local Electronics Store,"1,816",ATM,True
2024-07-29,Designer Boutique,"2,473",Online,False
2023-01-07,Swiggy,"3,082",POS,False
2024-10-06,Subscription - Spotify,781,Contactless,False
2023-03-12,PhonePe,"4,875",POS,False
2024-03-04,Hotel Taj,"39,590",UPI,False
2024-05-09,Flipkart,"4,405",Online,False
2024-07-23,Swiggy,"2,532",Contactless,False
2023-09-20,Recharge Portal,"1,474",UPI,False
2024-11-26,Uber,"31,325",Online,True
2023-07-03,Pharmacy Plus,"2,914",Online,True
2024-11-26,SBI ATM,"3,750",Transfer,False
2024-03-09,BigBasket,"4,786",Online,False
2023-07-09,PhonePe,"1,003",Online,False
2024-08-25,Ola Cabs,372,Online,False
2023-11-14,Flipkart,"61,859",Transfer,False
2024-04-10,Cinemaplex,"32,082",UPI,False
2023-01-15,Utility - Water,"2,616",Online,False
2023-05-06,Cinemaplex,"3,917",Contactless,False
2023-11-25,Utility - Electricity,"2,185",Transfer,False
2024-07-23,IRCTC,"4,731",UPI,False
2024-08-13,Amazon India,917,Contactless,False
2023-03-17,SBI ATM,"1,391",ATM,False
2023-11-16,Designer Boutique,"1,849",POS,False
2023-11-19,Uber,"37,030",Transfer,False
2024-08-12,Subscription - Spotify,466,Contactless,False
2024-11-01,Local Electronics Store,538,Contactless,False
2024-03-24,BigBasket,"21,391",POS,False
2024-03-13,Recharge Portal,"15,438",ATM,False
2024-01-25,Suspicious Store,"1,229",Transfer,False
2024-09-05,Subscription - Netflix,"4,011",Online,False
2023-03-11,Zomato,"3,414",Transfer,False
2023-06-01,Local Electronics Store,"4,022",UPI,False
2024-03-02,Axis Bank ATM,"4,959",Transfer,False
2024-04-02,Paytm Mall,"3,599",Contactless,True
2024-03-08,Flipkart,"1,473",Online,False
2023-01-02,Utility - Electricity,"3,941",POS,False
2024-01-28,BigBasket,"3,245",Transfer,False
2023-04-25,Corner Grocery,"1,206",Transfer,False
2024-07-07,Axis Bank ATM,"29,985",UPI,False
2023-03-24,Pharmacy Plus,659,Contactless,False
2023-05-08,Utility - Electricity,753,Transfer,False
2023-08-05,Flipkart,"2,951",UPI,False
2023-03-01,Suspicious Store,"3,005",ATM,False
2024-08-10,Unknown Merchant,"45,582",ATM,False
2023-05-03,Amazon India,"223,176",POS,False
2023-05-13,Suspicious Store,"3,864",Online,False
2023-12-14,Gold Loan,"4,204",Online,False
2023-03-22,Uber,"2,153",UPI,False
2023-03-08,Local POS Stall,"1,486",Online,False
2023-05-10,Uber,"44,320",ATM,False
2024-04-12,Luxury Outlet,923,ATM,False
2024-11-02,Recharge Portal,"4,158",Online,False
2024-04-13,Subscription - Spotify,"3,221",UPI,False
2023-09-11,SBI ATM,"4,655",Contactless,False
2024-09-01,Uber,"3,027",ATM,False
2023-02-07,Swiggy,"6,025",Online,False
2024-12-14,Utility - Electricity,"38,681",Transfer,True
2024-09-30,Suspicious Store,"3,203",Online,False
2024-11-08,Ola Cabs,"3,701",UPI,False
2023-09-29,Pharmacy Plus,394,UPI,False
2023-07-01,Subscription - Netflix,"26,313",Contactless,False
2023-12-19,Uber,"1,415",POS,False
2024-11-24,Swiggy,"4,034",ATM,False
2024-07-07,Hotel Taj,"2,025",POS,False
2023-05-09,Utility - Electricity,"2,538",Online,False
2024-11-06,Axis Bank ATM,"4,989",Online,False
2023-02-21,Pharmacy Plus,884,Contactless,False
2023-10-06,Recharge Portal,"3,069",UPI,False
2024-11-04,BookShop,"3,422",Online,True
2023-08-27,Cinemaplex,"3,248",Contactless,False
2023-01-05,Subscription - Spotify,346,POS,False
2023-02-18,PhonePe,"49,087",Contactless,False
2024-12-25,Amazon India,"38,022",Transfer,False
2024-03-05,Local POS Stall,"38,394",POS,False
2023-10-20,Myntra,"3,238",Online,False
2024-02-08,Jewellery House,"4,033",ATM,False
2023-03-07,Gold Loan,"4,081",Transfer,False
2024-05-01,Uber,"2,940",ATM,False
2023-03-22,Gold Loan,"3,063",ATM,False
2024-11-19,Suspicious Store,"3,111",Contactless,False
2024-10-04,Amazon India,"4,682",Transfer,False
2023-10-31,Hotel Taj,"4,184",Transfer,False
2024-06-05,Local POS Stall,"2,884",POS,False
2023-04-13,Local Electronics Store,"37,615",UPI,False
2024-02-10,Axis Bank ATM,773,Transfer,False
2023-11-09,Utility - Electricity,"3,586",Transfer,False
2024-02-02,Designer Boutique,"2,244",POS,False
2024-02-19,Myntra,821,UPI,False
2023-02-01,BookShop,"4,774",Contactless,False
2024-10-15,Luxury Outlet,"3,585",Online,False
2023-06-02,Hotel Taj,"4,145",ATM,False
2023-06-26,Zomato,660,Contactless,False
2024-06-08,Designer Boutique,"2,901",POS,False
2024-07-09,Paytm Mall,"28,109",POS,False
2024-09-20,IRCTC,455,Online,False
2024-06-12,Cinemaplex,"2,987",ATM,False
2024-07-06,Local Electronics Store,854,Transfer,False
2024-03-30,Gold Loan,"3,373",POS,False
2023-03-17,Swiggy,"2,230",Online,False
2024-08-04,Jewellery House,"131,075",UPI,False
2023-01-30,Designer Boutique,"26,677",UPI,False
2023-08-01,Suspicious Store,688,ATM,False
2024-03-12,Suspicious Store,"1,469",UPI,False
2024-11-27,Uber,"39,392",ATM,False
2023-04-16,BigBasket,"2,458",POS,False
2023-05-12,Swiggy,"2,765",Contactless,False
2023-01-25,Hotel Taj,"3,279",Online,False
2023-05-31,Utility - Electricity,"16,973",Transfer,False
2023-02-28,Ola Cabs,"4,704",Online,False
2023-08-09,Amazon India,"1,021",POS,False
2024-03-14,Suspicious Store,"51,009",UPI,True
2024-11-30,Axis Bank ATM,"198,217",ATM,False
2024-12-26,Zomato,"4,834",Contactless,False
2023-05-27,Gold Loan,"2,895",Contactless,False
2024-07-20,Gold Loan,"40,191",ATM,False
2024-08-12,Myntra,"12,682",Contactless,False
2023-09-02,Subscription - Netflix,"3,589",ATM,False
2024-10-12,Uber,"3,140",ATM,False
2024-09-08,Cinemaplex,"2,254",ATM,False
2024-01-07,Axis Bank ATM,"22,791",ATM,False
2023-11-27,Swiggy,"3,165",POS,False
2023-07-07,Hotel Taj,"1,907",Contactless,False
2024-04-29,Myntra,"3,624",ATM,False
2024-12-06,Gold Loan,"1,799",UPI,False
2024-10-17,Suspicious Store,"1,151",Transfer,False
2023-11-13,Utility - Water,"1,237",Contactless,False
2023-01-18,Utility - Water,283,Online,False
2024-04-30,Jewellery House,"20,009",Online,False
2024-02-14,Luxury Outlet,"2,392",Online,False
2023-12-06,Paytm Mall,"4,614",Online,False
2024-05-09,Zomato,"3,329",Contactless,False
2024-12-14,Local POS Stall,249,POS,False
2023-07-13,Gold Loan,"9,192",UPI,False
2023-03-30,Gold Loan,"2,072",Transfer,False
2023-11-14,Jewellery House,"180,866",Contactless,False
2024-08-26,Corner Grocery,"2,262",Contactless,False
2023-05-18,Unknown Merchant,811,Contactless,False
2024-04-18,Jewellery House,"4,180",Contactless,False
2024-07-24,Pharmacy Plus,"1,126",POS,False
2023-02-13,Paytm Mall,"3,553",Transfer,False
2024-12-29,Suspicious Store,"20,507",ATM,False
2024-06-09,Hotel Taj,"1,041",ATM,False
2023-04-03,Ola Cabs,"29,611",POS,False
2023-07-06,PhonePe,"1,391",ATM,False
2024-11-04,Pharmacy Plus,"4,996",POS,False
2024-01-13,SBI ATM,"3,964",Contactless,False
2024-01-18,Suspicious Store,"3,477",Online,True
2023-10-03,Local POS Stall,"45,916",Transfer,False
2024-01-13,BookShop,"2,623",UPI,False
2023-09-02,Subscription - Netflix,"35,072",Contactless,False
2024-04-11,Ola Cabs,"11,377",Contactless,False
2024-07-26,BookShop,"1,894",ATM,False
2023-12-09,Utility - Water,"48,206",Transfer,False
2024-10-16,PhonePe,"3,640",Contactless,False
2024-10-04,Ola Cabs,"3,702",Contactless,False
2024-12-07,Uber,750,POS,False
2023-01-21,SBI ATM,"3,935",POS,False
2023-05-14,Zomato,"2,174",Contactless,False
2023-09-04,Flipkart,"1,990",Online,False
2023-10-30,Subscription - Spotify,"32,086",ATM,False
2023-03-12,PhonePe,"1,917",POS,False
2023-01-09,PhonePe,"3,385",Transfer,False
2023-12-26,Jewellery House,"172,660",Transfer,False
2024-09-02,PhonePe,"4,209",Online,False
2023-03-26,Flipkart,"4,521",UPI,False
2023-12-16,Gold Loan,"19,288",ATM,False
2023-04-06,Subscription - Netflix,"2,072",POS,False
2024-09-09,Utility - Water,"4,760",Transfer,False
2024-08-25,IRCTC,"1,533",Transfer,False
2023-08-22,IRCTC,"49,806",Online,False
2024-02-12,Paytm Mall,"3,459",ATM,False
2024-06-23,Zomato,"3,733",Contactless,False
2023-11-12,Zomato,209,Transfer,False
2024-02-12,BookShop,456,Online,False
2024-11-13,Flipkart,"39,340",Online,False
2023-06-06,Designer Boutique,"2,576",Contactless,False
2023-07-17,Paytm Mall,"13,687",Transfer,False
2024-01-25,Paytm Mall,"44,835",Online,False
2023-01-31,PhonePe,"245,360",Transfer,False
2024-02-12,Utility - Electricity,"2,730",Online,False
2023-09-12,Suspicious Store,"26,284",Transfer,False
2023-05-16,IRCTC,"1,551",UPI,False
2023-04-02,Local Electronics Store,"1,873",Online,False
2024-11-18,Cinemaplex,"1,825",ATM,False
2023-11-24,PhonePe,300,Online,False
2023-01-07,BigBasket,"8,626",UPI,False
2024-09-11,Axis Bank ATM,"3,706",Contactless,False
2023-11-23,Amazon India,"2,384",UPI,False
2023-03-17,Uber,"4,692",Online,False
2024-10-06,Hotel Taj,"2,340",UPI,False
2024-12-22,Flipkart,"3,282",Online,False
2023-07-12,Suspicious Store,"1,228",Transfer,False
2024-12-05,Paytm Mall,790,Online,False
2023-03-29,Gold Loan,"2,452",POS,False
2023-10-13,Utility - Water,"49,869",Transfer,False
2023-08-15,Designer Boutique,"2,750",ATM,False
2024-06-06,Local POS Stall,"1,237",ATM,False
2023-10-09,Recharge Portal,"1,610",Transfer,False
2023-07-11,Pharmacy Plus,312,ATM,False
2024-04-12,Designer Boutique,"1,706",ATM,False
2024-12-25,Ola Cabs,"79,275",ATM,False
2024-09-02,Uber,"37,663",UPI,False
2023-09-12,Amazon India,"4,710",Transfer,False
2023-09-21,BookShop,871,Online,False
2023-09-14,Zomato,"3,333",Contactless,False
2024-03-20,Designer Boutique,"9,819",Transfer,False
2023-01-15,BookShop,890,Transfer,False
2024-01-21,Cinemaplex,"2,999",ATM,False
2023-07-30,Suspicious Store,"270,844",Transfer,True
2024-10-23,Swiggy,846,Contactless,False
2023-12-18,Local Electronics Store,"4,012",Contactless,False
2023-03-19,SBI ATM,"46,982",UPI,False
2024-01-29,Swiggy,"194,920",Contactless,False
2023-12-31,Uber,"2,084",POS,False
2023-07-31,Local Electronics Store,"13,266",UPI,False
2023-07-15,Ola Cabs,"1,115",POS,False
2024-06-20,Ola Cabs,"2,751",Contactless,False
2024-01-25,Paytm Mall,"3,530",Online,False
2024-12-13,Swiggy,"1,918",UPI,False
2024-05-29,PhonePe,"3,281",Transfer,False
2023-03-22,Recharge Portal,"1,824",POS,False
2024-12-16,SBI ATM,"26,195",Online,False
2024-07-21,Hotel Taj,"3,987",UPI,False
2023-04-01,Utility - Electricity,"2,498",Transfer,False
2023-10-03,Hotel Taj,"2,705",UPI,False
2023-02-26,Swiggy,"4,837",Online,False
2023-12-15,Ola Cabs,"2,326",POS,False
2024-07-20,Gold Loan,"3,422",Transfer,False
2023-03-11,Subscription - Netflix,"4,502",Online,False
2024-06-14,Paytm Mall,"3,272",UPI,False
2024-05-11,Gold Loan,"4,954",ATM,False
2024-05-29,Corner Grocery,"25,559",UPI,False
2023-09-13,Unknown Merchant,"2,253",Online,True
2024-05-22,Myntra,"3,581",Online,False
2023-10-10,PhonePe,"3,979",Transfer,False
2023-09-11,Recharge Portal,"3,915",Transfer,False
2024-01-23,Utility - Electricity,"1,015",UPI,False
2024-05-24,Utility - Water,"252,830",Transfer,False
2023-03-24,BookShop,295,UPI,False
2024-10-05,Ola Cabs,556,UPI,False
2024-04-24,Hotel Taj,"4,774",Online,False
2023-09-26,PhonePe,"4,962",Transfer,False
2023-05-17,Corner Grocery,"2,280",Contactless,False
2024-03-15,Recharge Portal,"2,479",Contactless,False
2024-10-24,Paytm Mall,"4,321",Transfer,False
2024-10-17,Hotel Taj,"4,673",Transfer,False
2024-01-08,Cinemaplex,"1,774",POS,False
2024-09-17,Corner Grocery,"38,827",Transfer,False
2024-12-21,Amazon India,"4,672",ATM,False
2024-02-25,Suspicious Store,"44,986",ATM,False
2024-04-21,Designer Boutique,"9,335",POS,False
2023-02-15,Myntra,"1,727",ATM,False
2024-05-28,Gold Loan,"47,817",POS,False
2023-06-13,Utility - Electricity,395,UPI,False
2023-12-07,Uber,"4,798",Transfer,False
2023-12-20,Ola Cabs,"1,179",Transfer,False
2023-07-24,Local Electronics Store,"1,911",Online,False
2023-02-01,Utility - Water,"244,362",Online,False
2024-11-19,BookShop,"3,548",Transfer,False
2023-01-28,Ola Cabs,"4,553",Online,False
2024-06-27,BookShop,"2,694",Online,False
2024-09-06,Paytm Mall,"3,407",UPI,True
2024-09-26,Myntra,"101,571",Online,False
2024-02-11,Cinemaplex,"1,462",Online,False
2023-08-14,Swiggy,"3,744",Transfer,False
2024-05-17,Subscription - Netflix,"1,668",Online,False
2023-05-13,Designer Boutique,708,Contactless,False
2023-01-12,BookShop,"1,541",ATM,False
2024-12-04,IRCTC,"3,140",Contactless,False
2024-10-16,SBI ATM,"2,836",Transfer,False
2024-02-23,BigBasket,"4,413",Contactless,False
2023-11-24,Flipkart,"1,906",Transfer,False
2023-12-12,Axis Bank ATM,"6,973",UPI,False
2023-10-25,Local POS Stall,"2,659",Contactless,False
2023-06-30,Designer Boutique,"21,652",UPI,False
2024-03-23,IRCTC,"2,911",UPI,False
2024-05-02,Suspicious Store,689,UPI,False
2024-05-16,Jewellery House,"4,020",Contactless,False
2024-01-22,SBI ATM,429,ATM,False
2024-10-16,Utility - Electricity,"2,138",POS,False
2024-12-30,Corner Grocery,"13,125",Online,False
2024-03-27,Uber,680,Contactless,False
2024-12-20,Local Electronics Store,"23,205",Contactless,False
2024-04-17,Corner Grocery,"39,065",ATM,False
2024-01-18,Local Electronics Store,"289,326",Online,False
2024-09-13,Myntra,"45,646",POS,False
2024-09-03,Suspicious Store,"4,142",POS,False
2024-08-09,Flipkart,"2,679",ATM,False
2023-12-28,BookShop,302,Online,False
2023-11-28,Designer Boutique,"38,043",Contactless,False
2023-10-24,Axis Bank ATM,"3,105",ATM,False
2024-09-04,Pharmacy Plus,"3,589",UPI,False
2024-09-28,Gold Loan,"4,495",POS,False
2024-08-11,Recharge Portal,88,POS,False
2024-10-28,Subscription - Netflix,916,UPI,False
2024-09-13,Axis Bank ATM,"48,005",UPI,False
2024-08-15,Local POS Stall,"3,085",Contactless,False
2024-12-22,Unknown Merchant,"4,115",POS,False
2023-11-22,Cinemaplex,"18,975",UPI,False
2024-01-03,Unknown Merchant,"1,355",POS,False
2024-05-29,Corner Grocery,"4,288",Transfer,False
2023-07-05,Corner Grocery,"1,456",Contactless,False
2024-12-19,PhonePe,"4,999",Transfer,True
2024-11-28,PhonePe,"1,186",POS,False
2023-01-31,BigBasket,345,Online,True
2023-01-06,Pharmacy Plus,"164,548",UPI,False
2023-04-27,Suspicious Store,"14,914",UPI,False
2023-03-18,Paytm Mall,"1,592",POS,False
2023-05-05,Paytm Mall,"1,837",Transfer,False
2024-09-26,Suspicious Store,"3,413",Contactless,False
2024-07-23,Paytm Mall,"3,064",Contactless,False
2024-06-22,Jewellery House,"3,395",Contactless,False
2023-02-28,Hotel Taj,"3,616",UPI,False
2023-03-21,Designer Boutique,"2,697",Transfer,False
2024-09-03,Subscription - Netflix,"15,098",UPI,False
2023-06-20,Uber,"4,221",UPI,False
2024-05-25,IRCTC,"4,242",UPI,False
2023-05-21,Unknown Merchant,"1,258",Contactless,False
2023-09-25,Designer Boutique,"1,816",Online,False
2023-10-25,Cinemaplex,"3,996",Online,False
2024-01-18,Recharge Portal,"2,141",POS,True
2024-01-01,BigBasket,"2,781",Contactless,False
2024-08-10,BookShop,"1,663",Contactless,False
2024-07-01,Axis Bank ATM,"2,629",POS,False
2023-10-23,Flipkart,"4,298",POS,False
2023-11-17,Local POS Stall,"43,271",Contactless,False
2024-12-14,Local Electronics Store,"26,301",Online,False
2024-05-27,Unknown Merchant,"246,761",POS,False
2024-01-31,Subscription - Netflix,"3,395",ATM,False
2024-09-25,Cinemaplex,"1,675",UPI,False
2023-11-29,Uber,"1,943",Transfer,False
2024-04-16,Unknown Merchant,"4,920",UPI,False
2024-03-07,Myntra,"1,884",Contactless,False
2024-10-28,Paytm Mall,"44,845",POS,False
2024-07-06,SBI ATM,"1,565",UPI,False
2023-01-03,BigBasket,"3,214",Online,False
2023-10-28,Pharmacy Plus,"1,837",UPI,False
2024-05-20,Swiggy,"4,101",ATM,False
2024-03-16,Hotel Taj,"1,893",POS,False
2024-11-02,Recharge Portal,299,Online,False
2023-10-09,Local Electronics Store,"1,487",UPI,False
2024-01-10,PhonePe,"1,388",ATM,False
2023-09-05,PhonePe,"1,034",UPI,False
2023-10-08,Pharmacy Plus,"4,343",Online,False
2024-10-01,Corner Grocery,379,UPI,False
2023-06-06,Zomato,"1,505",Online,False
2023-03-10,Utility - Electricity,181,UPI,False
2024-11-09,Jewellery House,891,POS,False
2024-04-04,Pharmacy Plus,352,ATM,False
2024-06-19,Paytm Mall,"2,634",ATM,False
2024-06-13,Amazon India,"1,378",POS,False
2024-01-17,BigBasket,"3,827",Contactless,False
2023-01-09,Cinemaplex,"8,744",UPI,False
2023-08-14,Ola Cabs,"4,335",Contactless,False
2023-07-26,Cinemaplex,"1,192",UPI,False
2023-01-27,Local Electronics Store,"3,070",Contactless,False
2024-04-23,Flipkart,"17,563",Online,False
2024-10-07,Utility - Electricity,"117,696",UPI,False
2024-01-13,Luxury Outlet,"45,231",Online,True
2023-03-31,Local POS Stall,"201,215",ATM,False
2024-06-05,Local Electronics Store,"3,098",Online,False
2024-03-11,Local Electronics Store,"4,633",Online,False
2023-11-06,Zomato,473,Online,False
2023-05-21,BookShop,"3,551",Transfer,False
2023-03-28,Subscription - Netflix,"3,996",ATM,False
2023-12-27,Swiggy,"24,964",Online,False
2023-05-10,Swiggy,518,Transfer,False
2024-05-22,Ola Cabs,"3,101",POS,False
2024-07-02,PhonePe,"2,244",Contactless,False
2024-11-24,IRCTC,487,ATM,False
2023-08-15,IRCTC,"3,543",Transfer,False
2024-09-17,Utility - Electricity,"4,881",UPI,False
2023-10-02,Axis Bank ATM,"1,234",Transfer,False
2024-01-09,Luxury Outlet,"4,410",Online,False
2024-12-16,Utility - Electricity,"2,860",Contactless,False
2024-12-07,Cinemaplex,"4,472",Online,False
2023-06-20,Local POS Stall,"10,494",UPI,False
2024-04-17,Hotel Taj,27,POS,False
2024-12-27,Suspicious Store,"114,035",Transfer,True
2023-10-07,Suspicious Store,"2,136",Transfer,False
2023-01-10,Paytm Mall,"31,566",Contactless,False
2024-12-20,Zomato,"2,962",POS,False
2024-09-20,Unknown Merchant,"3,498",Transfer,False
2023-05-27,Subscription - Netflix,"2,461",ATM,False
2023-07-29,Unknown Merchant,"3,647",ATM,False
2024-02-11,Gold Loan,"3,214",UPI,False
2023-05-28,Recharge Portal,717,POS,True
2024-06-15,Local Electronics Store,"2,020",Contactless,False
2023-12-24,Cinemaplex,"2,979",UPI,False
2024-05-29,SBI ATM,"1,441",Transfer,False
2023-06-20,Local POS Stall,"2,229",UPI,False
2023-12-29,Unknown Merchant,"1,382",Contactless,False
2024-12-30,Corner Grocery,"18,234",Contactless,False
2023-11-07,Myntra,"1,725",UPI,False
2023-12-07,Local POS Stall,"4,071",POS,False
2023-11-20,PhonePe,418,Contactless,False
2023-01-04,Cinemaplex,"26,710",Transfer,False
2024-01-23,SBI ATM,"2,656",Contactless,False
2024-09-02,Luxury Outlet,"3,747",POS,False
2023-06-24,Myntra,"3,593",Online,False
2024-03-04,Myntra,"2,553",Online,False
2023-02-22,BigBasket,"3,525",ATM,False
2024-02-23,Gold Loan,366,Online,False
2023-11-17,Swiggy,"166,846",UPI,False
2023-09-14,BookShop,"42,616",Contactless,False
2023-10-01,Zomato,"17,076",POS,False
2024-12-14,Amazon India,"256,717",POS,False
2024-04-26,Unknown Merchant,"2,321",Contactless,False
2023-10-30,Jewellery House,"3,606",Transfer,False
2023-09-29,Jewellery House,"2,011",Contactless,False
2023-10-12,Uber,"24,136",Contactless,False
2023-12-01,Jewellery House,"1,155",ATM,False
2024-09-18,Swiggy,"48,228",Online,False
2023-07-19,Myntra,"3,308",Transfer,False
2024-07-20,BigBasket,"4,803",Online,False
2024-10-22,Utility - Water,"3,992",UPI,False
2023-09-06,PhonePe,"3,176",Contactless,False
2024-07-12,Subscription - Spotify,604,POS,False
2024-01-13,Cinemaplex,"3,570",ATM,False
2023-02-25,BookShop,"1,739",Transfer,False
2023-05-20,Unknown Merchant,114,UPI,False
2024-01-05,Hotel Taj,930,POS,False
2023-04-11,Unknown Merchant,"1,120",Online,False
2023-06-01,Axis Bank ATM,"4,463",Transfer,False
2023-10-09,BookShop,"40,595",POS,False
2023-05-16,Corner Grocery,839,ATM,False
2024-03-17,Luxury Outlet,"10,668",ATM,False
2024-01-05,BookShop,"1,107",UPI,False
2023-04-06,Uber,"2,940",Online,False
2024-05-10,Utility - Electricity,"3,218",Contactless,False
2024-08-14,Subscription - Spotify,"2,530",POS,False
2024-03-20,Myntra,"171,553",Contactless,False
2023-11-05,BigBasket,"32,169",Contactless,False
2023-01-20,Ola Cabs,591,POS,False
2024-08-23,Ola Cabs,"4,138",POS,False
2023-11-15,BookShop,"39,043",Contactless,False
2023-02-28,BigBasket,544,Transfer,False
2023-05-23,Swiggy,"2,341",UPI,False
2023-08-22,Suspicious Store,"3,226",POS,False
2024-10-08,Paytm Mall,"2,485",Transfer,False
2023-01-24,Jewellery House,"2,306",Online,False
2024-03-24,Zomato,"2,199",ATM,False
2023-03-09,Zomato,"1,268",Transfer,False
2023-03-22,BookShop,"1,626",POS,False
2024-03-09,Uber,"4,781",Contactless,False
2023-01-03,Utility - Electricity,"4,448",UPI,False
2023-08-22,Local POS Stall,"29,455",Contactless,False
2024-01-03,Recharge Portal,"51,138",Contactless,False
2024-11-25,Paytm Mall,"268,240",Transfer,False
2024-06-01,Cinemaplex,"3,102",Online,False
2023-10-04,Pharmacy Plus,"2,558",Contactless,False
2023-08-15,Jewellery House,"187,705",Online,False
2024-10-20,Hotel Taj,"2,226",ATM,False
2023-03-18,BookShop,"4,520",POS,False
2023-09-15,PhonePe,"2,606",Contactless,False
2023-02-19,Pharmacy Plus,"2,679",POS,False
2024-02-29,Subscription - Spotify,163,Transfer,False
2024-03-16,Cinemaplex,"37,224",POS,False
2024-01-06,Utility - Water,"2,555",POS,False
2024-01-03,Amazon India,"2,210",Transfer,False
2023-09-13,Hotel Taj,"2,119",Transfer,False
2023-09-06,Designer Boutique,"48,238",UPI,False
2024-10-23,Ola Cabs,"49,519",Online,False
2024-10-16,PhonePe,"29,991",UPI,False
2023-04-10,Jewellery House,"4,872",Online,False
2023-01-30,Jewellery House,"4,650",Transfer,False
2024-02-10,SBI ATM,381,UPI,True
2024-11-06,Hotel Taj,370,Transfer,False
2023-01-31,Hotel Taj,"1,746",Online,False
2024-03-26,Unknown Merchant,"4,443",UPI,False
2024-06-26,Gold Loan,"4,192",Contactless,False
2023-11-17,Recharge Portal,"6,886",Transfer,False
2024-01-06,Corner Grocery,"2,156",Contactless,False
2024-05-21,Gold Loan,"14,377",Contactless,False
2023-05-21,BigBasket,"34,181",Transfer,False
2023-02-26,Local Electronics Store,"4,216",ATM,False
2023-02-24,BookShop,"3,113",Online,False
2024-12-26,Myntra,"102,797",Online,False
2023-12-22,Utility - Electricity,"2,378",Online,False
2024-11-21,Gold Loan,"4,533",POS,False
2024-05-26,Unknown Merchant,"3,674",UPI,False
2024-05-26,PhonePe,"4,468",ATM,False
2024-12-06,Cinemaplex,617,Online,False
2023-02-25,Recharge Portal,"2,342",Transfer,False
2023-04-29,Paytm Mall,"268,692",POS,False
2024-11-17,Uber,"37,357",Online,False
2023-04-13,BigBasket,"3,919",Transfer,False
2024-12-14,Uber,892,UPI,False
2024-10-05,Myntra,"168,711",Transfer,False
2023-07-14,Gold Loan,535,ATM,False
2024-05-12,Subscription - Netflix,88,ATM,False
2023-11-26,Pharmacy Plus,192,Online,False
2024-02-15,Paytm Mall,"13,646",ATM,False
2024-10-24,Myntra,"136,104",POS,False
2023-03-07,Gold Loan,"42,432",Transfer,False
2023-03-04,Swiggy,"14,525",UPI,False
2024-09-20,Corner Grocery,"4,382",ATM,False
2023-01-07,Suspicious Store,"182,556",UPI,True
2024-09-15,Ola Cabs,"3,612",ATM,False
2024-08-08,BookShop,"141,912",Online,False
2023-10-23,Pharmacy Plus,"4,024",UPI,False
2023-04-16,Recharge Portal,"16,276",UPI,False
2024-08-21,Luxury Outlet,"4,840",UPI,False
2023-04-11,SBI ATM,375,Contactless,False
2024-05-12,PhonePe,"2,807",UPI,False
2024-03-01,Axis Bank ATM,"1,711",ATM,False
2024-07-28,Paytm Mall,"27,571",Contactless,False
2024-12-27,Local Electronics Store,"4,130",Transfer,False
2023-11-10,Amazon India,209,Transfer,False
2023-07-19,Unknown Merchant,"24,794",Contactless,False
2024-01-09,Unknown Merchant,"2,354",Contactless,False
2023-11-20,PhonePe,"41,470",UPI,False
2023-12-25,Swiggy,"2,630",Online,False
2024-05-16,Ola Cabs,761,Online,False
2023-08-29,Uber,"254,387",UPI,False
2023-04-13,BookShop,"4,050",Contactless,False
2023-09-18,Paytm Mall,490,Online,False
2024-01-28,Ola Cabs,296,Transfer,False
2024-02-28,Ola Cabs,"4,124",POS,False
2024-02-15,Cinemaplex,"229,012",POS,False
2023-11-07,Utility - Water,"31,465",Online,False
2023-02-26,Pharmacy Plus,"4,250",Transfer,False
2023-02-13,Recharge Portal,"2,272",Online,False
2023-02-03,Axis Bank ATM,"4,372",Transfer,False
2024-05-05,Cinemaplex,"4,612",POS,False
2023-03-04,Ola Cabs,"3,984",Transfer,False
2024-03-01,Subscription - Netflix,"1,022",UPI,True
2024-05-30,Flipkart,"3,525",Transfer,False
2023-01-29,Gold Loan,178,Transfer,False
2024-01-15,Gold Loan,"3,662",Online,False
2024-05-13,Axis Bank ATM,"1,352",Transfer,False
2024-12-13,Utility - Electricity,"24,750",Transfer,False
2023-06-16,Suspicious Store,"4,218",Transfer,False
